subject	locus	est_counts	tpm
ERR188021	HLA-A	44650.07475	1329.763055
ERR188021	HLA-B	78988.4184	2443.82881
ERR188021	HLA-C	31431.1938	987.565242
ERR188021	HLA-DMA	3125.0049265999996	141.01356996
ERR188021	HLA-DMB	2601.9962	95.45876299999999
ERR188021	HLA-DOA	2777.99724	49.32899
ERR188021	HLA-DOB	456.17803	18.82823
ERR188021	HLA-DPA1	18766.2623	651.4120700000001
ERR188021	HLA-DPB1	9548.72567	371.08171100000004
ERR188021	HLA-DQA1	10044.23295	528.85142
ERR188021	HLA-DQB1	11374.9244	628.54998
ERR188021	HLA-DRA	48791.962999999996	2126.7479000000003
ERR188021	HLA-DRB1	24706.769999999997	1057.0439999999999
ERR188021	HLA-DRB5	9712.78	385.077
ERR188021	HLA-E	15279.536399999999	285.87667999999996
ERR188021	HLA-F	4999.06914	255.938592
ERR188021	HLA-G	86.6966	3.27294
ERR188022	HLA-A	45606.017700000004	2007.1867770000001
ERR188022	HLA-B	46226.207299999995	2320.468402
ERR188022	HLA-C	21188.3244	1014.07438
ERR188022	HLA-DMA	3432.00241	218.61665499999998
ERR188022	HLA-DMB	2207.0017199999998	100.30568600000001
ERR188022	HLA-DOA	2627.00398	59.707153
ERR188022	HLA-DOB	523.928	29.92993
ERR188022	HLA-DPA1	17459.016900000002	744.48499
ERR188022	HLA-DPB1	9157.37811	520.778831
ERR188022	HLA-DQA1	13091.4784	812.91781
ERR188022	HLA-DQB1	12332.947339999999	942.544782
ERR188022	HLA-DRA	44138	2671.15
ERR188022	HLA-DRB1	21438.339999999997	1335.731
ERR188022	HLA-DRB5	6079.54	348.229
ERR188022	HLA-E	14299.8699	369.1569
ERR188022	HLA-F	3571.14573	264.875224
ERR188022	HLA-G	15.21173	0.813439
ERR188023	HLA-A	72152.61218	1965.807092
ERR188023	HLA-B	104220.734	3026.0879
ERR188023	HLA-C	49012.1765	1647.87557
ERR188023	HLA-DMA	7021.00345	218.507682
ERR188023	HLA-DMB	4226.9978	102.660217
ERR188023	HLA-DOA	3660.9984200000004	43.238251
ERR188023	HLA-DOB	1491.57421	39.817834
ERR188023	HLA-DPA1	30800.050000000003	649.75293
ERR188023	HLA-DPB1	12713.2123	375.13962000000004
ERR188023	HLA-DQA1	13521.2537	483.5049
ERR188023	HLA-DQB1	9367.3158	318.956638
ERR188023	HLA-DRA	75409.0132	2165.068382
ERR188023	HLA-DRB1	29904.5	1016.137
ERR188023	HLA-DRB5	13803.2	391.522
ERR188023	HLA-E	25236.7749	363.58395
ERR188023	HLA-F	5950.63516	261.300807
ERR188023	HLA-G	194.11504	6.580215
ERR188024	HLA-A	46722.008455999996	2039.89180196
ERR188024	HLA-B	48608.8692	2365.0159
ERR188024	HLA-C	33365.4454	1595.83877
ERR188024	HLA-DMA	2235.99858	141.954902
ERR188024	HLA-DMB	1601.99975	68.866816
ERR188024	HLA-DOA	2707.00327	61.767066
ERR188024	HLA-DOB	471.38294	27.353483
ERR188024	HLA-DPA1	15646.9913	731.32844
ERR188024	HLA-DPB1	7985.68448	463.344252
ERR188024	HLA-DQA1	13587.38938	777.3462400000001
ERR188024	HLA-DQB1	9445.061660000001	564.000499
ERR188024	HLA-DRA	49702.955149999994	3075.3084129999997
