subject_id	ena_id
NA20508	ERR188021
NA12812	ERR188022
HG00315	ERR188023
NA12749	ERR188024
HG00377	ERR188025
NA20510	ERR188026
NA07056	ERR188027
HG00155	ERR188028
HG00355	ERR188029
NA19119	ERR188030
HG00350	ERR188031
NA12275	ERR188032
HG00336	ERR188033
HG00273	ERR188034
HG00123	ERR188035
HG00236	ERR188036
NA19236	ERR188037
HG00345	ERR188038
NA12144	ERR188039
HG00096	ERR188040
HG00157	ERR188041
NA19204	ERR188042
HG00384	ERR188043
NA18498	ERR188044
HG00321	ERR188045
HG00320	ERR188046
NA06994	ERR188047
NA12489	ERR188048
NA11931	ERR188049
NA20518	ERR188050
NA12830	ERR188051
NA20541	ERR188052
HG00242	ERR188053
NA20752	ERR188054
NA19171	ERR188055
HG00331	ERR188056
HG00262	ERR188057
NA12005	ERR188058
HG00125	ERR188059
NA18517	ERR188060
NA12761	ERR188061
NA11992	ERR188062
NA20509	ERR188063
NA19144	ERR188064
HG00149	ERR188065
NA19118	ERR188066
NA11831	ERR188067
NA20759	ERR188068
NA19096	ERR188069
HG00263	ERR188070
HG00114	ERR188071
NA19137	ERR188072
HG00145	ERR188073
NA19257	ERR188074
HG00349	ERR188075
NA12006	ERR188076
NA11893	ERR188077
HG00372	ERR188078
NA20778	ERR188079
HG00250	ERR188080
NA12814	ERR188081
HG00110	ERR188082
HG00285	ERR188083
HG00152	ERR188084
NA18520	ERR188085
NA11892	ERR188086
HG00121	ERR188087
NA20504	ERR188088
HG00358	ERR188089
HG00186	ERR188090
HG00256	ERR188091
NA12546	ERR188092
NA19150	ERR188093
NA20806	ERR188094
HG00137	ERR188095
NA18933	ERR188096
NA18511	ERR188097
HG00337	ERR188098
NA12843	ERR188099
NA12762	ERR188100
NA10847	ERR188101
HG00383	ERR188102
NA19184	ERR188103
NA19146	ERR188104
NA20768	ERR188105
HG00247	ERR188106
NA12342	ERR188107
NA20754	ERR188108
NA19121	ERR188109
NA20760	ERR188110
HG00255	ERR188111
HG00239	ERR188112
HG00324	ERR188113
NA20534	ERR188114
HG00382	ERR188115
HG00151	ERR188116
HG00268	ERR188117
