subject	locus	est_counts	tpm
sample_01	HLA-A	18230.462222	356.872546
sample_01	HLA-B	48511.384896	1004.594472
sample_01	HLA-C	29254.213912	686.005168
sample_01	HLA-DMA	1293.001466	52.953148999999996
sample_01	HLA-DMB	726.981657	18.834079
sample_01	HLA-DOA	165.000187	1.540848
sample_01	HLA-DOB	168.412142	4.4796640000000005
sample_01	HLA-DPA1	10467.01187	418.858889
sample_01	HLA-DPB1	5203.005637	270.215112
sample_01	HLA-DQA1	6491.853012	289.42350700000003
sample_01	HLA-DQB1	1957.060068	40.075479
sample_01	HLA-DRA	26140.029645	773.754657
sample_01	HLA-DRB1	14124.936759	425.84701700000005
sample_01	HLA-DRB5	2307.342423	63.490038
sample_01	HLA-E	6436.216241	132.529358
sample_01	HLA-F	2609.556133	66.59563999999999
sample_01	HLA-G	8.008069	0.182065
sample_02	HLA-A	34303.502626999994	629.641286
sample_02	HLA-B	36888.522379	714.0340100000001
sample_02	HLA-C	31094.347055000002	747.089889
sample_02	HLA-DMA	1067.0122059999999	40.540543
sample_02	HLA-DMB	962.500551	23.796798
sample_02	HLA-DOA	366.004187	3.299146
sample_02	HLA-DOB	74.296825	1.852279
sample_02	HLA-DPA1	8784.100486	344.899305
sample_02	HLA-DPB1	5293.06055	251.464662
sample_02	HLA-DQA1	4732.147806999999	409.678155
sample_02	HLA-DQB1	3550.25749	69.50847999999999
sample_02	HLA-DRA	11873.135823	344.347512
sample_02	HLA-DRB1	8230.045642	230.1354
sample_02	HLA-DRB5	2043.377802	52.244611
sample_02	HLA-E	5244.009887	96.993369
sample_02	HLA-F	2155.078343	54.974022999999995
sample_02	HLA-G	187.457242	4.25532
sample_03	HLA-A	36890.261138999995	877.657645
sample_03	HLA-B	13857.474602	348.95239200000003
sample_03	HLA-C	11827.381613	364.059955
sample_03	HLA-DMA	1299.02153	65.278021
sample_03	HLA-DMB	305.785565	9.420521
sample_03	HLA-DOA	312.005171	3.510662
sample_03	HLA-DOB	158.383893	5.8428510000000005
sample_03	HLA-DPA1	7324.121389	346.570564
sample_03	HLA-DPB1	3913.064854	248.886934
sample_03	HLA-DQA1	2615.732846	267.656163
sample_03	HLA-DQB1	743.458941	18.21654
sample_03	HLA-DRA	13066.216557	465.021883
sample_03	HLA-DRB1	3824.173386	152.51879200000002
sample_03	HLA-DRB5	1592.200175	52.510844
sample_03	HLA-E	6863.334397	164.02855399999999
sample_03	HLA-F	4504.509921999999	142.244852
sample_03	HLA-G	131.608889	3.998081
sample_04	HLA-A	27321.284158000002	618.23665
sample_04	HLA-B	44232.57522599999	1053.899297
sample_04	HLA-C	32165.793722	934.297415
sample_04	HLA-DMA	1593.023867	79.786122
sample_04	HLA-DMB	1135.160066	33.80712
sample_04	HLA-DOA	746.0111770000001	11.034471
sample_04	HLA-DOB	135.23013	4.157732
sample_04	HLA-DPA1	12249.183514	566.859917
sample_04	HLA-DPB1	6905.102096	412.69228200000003
sample_04	HLA-DQA1	8023.460852	834.158153
sample_04	HLA-DQB1	5149.4543	123.314431
sample_04	HLA-DRA	16912.253375	584.890308
sample_04	HLA-DRB1	9906.631604	419.955658
sample_04	HLA-DRB5	4188.682861	132.711866
sample_04	HLA-E	6173.300638	146.214741
sample_04	HLA-F	2066.32803	61.553342
sample_04	HLA-G	25.026628	0.742633
sample_05	HLA-A	37971.749763	713.8127890000001
sample_05	HLA-B	51096.124604000004	1023.0611570000001
sample_05	HLA-C	25926.743175	549.514411
sample_05	HLA-DMA	1374.012922	58.809784
sample_05	HLA-DMB	326.399387	8.478488
sample_05	HLA-DOA	369.00347	3.714771
sample_05	HLA-DOB	84.706051	3.260751
sample_05	HLA-DPA1	6626.062315	346.373666
sample_05	HLA-DPB1	9649.090210999999	483.64912
sample_05	HLA-DQA1	9674.998271	871.732168
sample_05	HLA-DQB1	5618.817806999999	115.454357
sample_05	HLA-DRA	20021.188289	604.626876
sample_05	HLA-DRB1	20480.87403	662.186745
sample_05	HLA-DRB5	3971.461381	107.780898
sample_05	HLA-E	5362.95053	102.19050100000001
sample_05	HLA-F	6196.700766	153.26281799999998
sample_05	HLA-G	44.138791000000005	1.036247
sample_06	HLA-A	35674.295968	791.870311
sample_06	HLA-B	42946.195664	1007.400813
sample_06	HLA-C	27650.16691	759.3526830000001
sample_06	HLA-DMA	1098.025635	51.412577
