gene,rank,eqtl_hlapers,eqtl_previous,r2,d_prime,rtc,significant
HLA-A,0,rs3823342,rs9260036 (GeuvadisExon),0.65,1,0.98,1
HLA-A,0,rs3823342,rs34922185 (Delaneau2017),0.37,0.94,0.72,0
HLA-A,0,rs3823342,rs1111180 (GTExV7),0.19,0.46,0.6,0
HLA-A,0,rs3823342,rs2734971 (GeuvadisGene),0.12,0.36,0.44,0
HLA-A,1,rs1655924,rs2734971 (GeuvadisGene),0.52,0.86,1,1
HLA-A,1,rs1655924,rs1111180 (GTExV7),0.5,0.91,0.99,1
HLA-A,1,rs1655924,rs34922185 (Delaneau2017),0.29,0.67,0.92,1
HLA-A,1,rs1655924,rs9260036 (GeuvadisExon),0.07,0.27,0.25,0
HLA-B,0,rs1265081,rs9266207 (GeuvadisExon),0.03,0.26,0.58,0
HLA-B,0,rs1265081,rs2523598 (Delaneau2017),0,0.11,0.22,0
HLA-B,0,rs1265081,rs9266216 (GeuvadisGene),0,0.04,0.12,0
HLA-B,1,rs9380240,rs9266216 (GeuvadisGene),0.33,0.89,0.96,1
HLA-B,1,rs9380240,rs2523598 (Delaneau2017),0.2,0.86,0.83,0
HLA-B,1,rs9380240,rs9266207 (GeuvadisExon),0.18,0.66,0.76,0
HLA-B,2,rs2523616,rs2523598 (Delaneau2017),0.42,0.8,0.94,1
HLA-B,2,rs2523616,rs9266207 (GeuvadisExon),0.27,0.79,0.87,0
HLA-B,2,rs2523616,rs9266216 (GeuvadisGene),0.25,0.77,0.78,0
HLA-C,0,rs41561715,rs9265628 (GeuvadisGene),0.45,0.9,0.96,1
HLA-C,0,rs41561715,rs9264666 (Delaneau2017),0.19,1,0.84,0
HLA-C,0,rs41561715,rs1131123 (GTExV7),0.14,1,0.83,0
HLA-C,0,rs41561715,rs2395471 (Vince2016),0.18,0.98,0.83,0
HLA-C,0,rs41561715,rs67384697 (Kulkarni2011),0.08,0.97,0.78,0
HLA-C,0,rs41561715,rs9264942 (Thomas2009),0.08,1,0.68,0
HLA-C,0,rs41561715,rs9264643 (GeuvadisExon),0.06,1,0.62,0
HLA-C,0,rs41561715,rs10484554 (Fairfax2012),0.02,1,0.2,0
HLA-C,1,rs12199223,rs10484554 (Fairfax2012),0.65,1,0.99,1
HLA-C,1,rs12199223,rs2395471 (Vince2016),0.13,1,0.94,1
HLA-C,1,rs12199223,rs9264942 (Thomas2009),0.2,1,0.91,1
HLA-C,1,rs12199223,rs67384697 (Kulkarni2011),0.18,1,0.84,0
HLA-C,1,rs12199223,rs9264643 (GeuvadisExon),0.04,1,0.76,0
HLA-C,1,rs12199223,rs9264666 (Delaneau2017),0.08,1,0.75,0
HLA-C,1,rs12199223,rs1131123 (GTExV7),0.1,1,0.7,0
HLA-C,1,rs12199223,rs9265628 (GeuvadisGene),0.03,1,0.02,0
HLA-C,2,rs2074491,rs9264666 (Delaneau2017),0.15,1,0.84,0
HLA-C,2,rs2074491,rs1131123 (GTExV7),0.19,1,0.82,0
HLA-C,2,rs2074491,rs9264643 (GeuvadisExon),0.08,1,0.78,0
HLA-C,2,rs2074491,rs2395471 (Vince2016),0.15,1,0.78,0
HLA-C,2,rs2074491,rs9264942 (Thomas2009),0.09,0.95,0.62,0
HLA-C,2,rs2074491,rs67384697 (Kulkarni2011),0.1,0.98,0.61,0
HLA-C,2,rs2074491,rs9265628 (GeuvadisGene),0.04,0.96,0.6,0
HLA-C,2,rs2074491,rs10484554 (Fairfax2012),0.03,1,0.16,0
HLA-DPA1,0,rs72870107,rs34937821 (GeuvadisExon),0.96,1,0.66,0
HLA-DPA1,0,rs72870107,rs3077 (Ou2019),0.96,1,0.66,0
HLA-DPA1,0,rs72870107,rs113777417 (Delaneau2017),0.95,0.98,0.59,0
HLA-DPA1,0,rs72870107,rs9469332 (GeuvadisGene),0.94,0.98,0.36,0
HLA-DPA1,0,rs72870107,rs2071353 (GTExV7),0.86,0.96,0.31,0
HLA-DPA1,0,rs72870107,rs6935846 (Fairfax2012),0.03,0.38,0.01,0
HLA-DPB1,0,rs9277449,rs3128964 (GeuvadisExon),0.97,1,0.99,1
HLA-DPB1,0,rs9277449,rs9277534 (Thomas2012),0.98,1,0.87,0
HLA-DPB1,0,rs9277449,rs86567 (Fairfax2012),0.02,0.28,0.25,0
