gene,rank,qtl,validated_var,study,r_squared,d_prime,af_qtl,af_validated,rtc,validated_var_pval,validated_var_signif
HLA-C,0,rs41561715,rs67384697,kulkarni2011,0.08,0.97,0.128492,0.370112,0.78,NA,NA
HLA-C,0,rs41561715,rs2395471,vince2017,0.18,0.98,0.128492,0.444134,0.83,6.91,1
HLA-C,1,rs12199223,rs67384697,kulkarni2011,0.18,1,0.094972,0.370112,0.84,NA,NA
HLA-C,1,rs12199223,rs2395471,vince2017,0.13,1,0.094972,0.444134,0.94,NA,NA
HLA-C,2,rs2074491,rs67384697,kulkarni2011,0.1,0.98,0.155028,0.370112,0.61,NA,NA
HLA-C,2,rs2074491,rs2395471,vince2017,0.15,1,0.155028,0.444134,0.78,NA,NA
HLA-DRB1,0,rs9271108,rs9271593,xl9_raj2016,0.03,0.24,0.719274,0.590782,0.18,NA,NA
HLA-DRB1,1,rs9271377,rs9271593,xl9_raj2016,0.18,0.45,0.378492,0.590782,0.83,NA,NA
HLA-DQA1,0,rs75170544,rs9271593,xl9_raj2016,0.13,0.61,0.340782,0.590782,0.69,7.61,1
HLA-DQA1,1,rs9271375,rs9271593,xl9_raj2016,0,0.06,0.435754,0.590782,0.09,NA,NA
HLA-DQB1,0,rs9274688,rs9271593,xl9_raj2016,0.08,0.49,0.318436,0.590782,0.31,NA,NA
HLA-DQB1,1,rs3134978,rs9271593,xl9_raj2016,0.15,1,0.094972,0.590782,0.84,NA,NA
HLA-DPA1,0,rs72870107,rs3077,ou2018,0.96,1,0.162011,0.167598,0.66,8.58,1
HLA-DPB1,0,rs9277449,rs9277534,petersdorf2015,0.98,1,0.296089,0.300279,0.87,32.85,1
HLA-DPB1,0,rs9277449,rs2281389,petersdorf2015,0.51,0.99,0.296089,0.178771,0.5,17.33,1
